dummy_column_A,recipient_name,dummy_value
0.440959195,WYOMING DEPARTMENT OF WORKFORCE SERVICES,70.49782057
0.181965428,NEW YORK STATE DEPARTMENT OF HEALTH,48.15209892
0.467564213,J CRAIG VENTER INSTITUTE INC,25.15863174
0.086381819,NEW YORK STATE  DEPAR,41.81249251
0.084924417,WASHINGTON STATE  DEP,23.61475311
0.259619198,State of Missouri Department of Conservation,36.06748316
0.333479329,"ECONOMIC AND COMMUNITY DEVELOPMENT, TENNESSEE",50.45177187
0.447961653,THE NEW CENTER,33.93520626
0.772605325,PA DEPT OF PUBLIC WELFARE,21.69538961
0.174469168,CITY OF BROOKINGS,80.24311099
0.13057181,Community Counseling of Bristol County,37.57640014
0.988966736,GC Imaging,27.34379238
0.930503226,Add-vision,76.6024688
0.066741679,GEISINGER CLINIC,54.68392339
0.039495952,THREE RIVERS ALUMINUM COMPANY INC,3.986894251
0.635839587,STATE  DEPARTMENT OF,63.43799367
0.403599827,MINIATURE TOOL & DIE INC,40.93181682
0.721892042,ILLINOIS  DEPARTMENT,73.19850125
0.167775105,PENNSYLVANIA STATE UNIVERSITY SYSTEM,34.16295905
0.939821812,RHODEISLANDARPTCORP,51.75381339
0.120822286,ILLINOIS  DEPARTMENT,41.11832543
0.367087739,NEW YORK STATE  DEPAR,77.38996282
0.435966071,WORKFORCE WEST VIRGINIA DIVISION,70.79214725
0.804743815,TX DEPT OF STATE HEALTH SERVICES,9.122700356
0.766024336,BURNHAM INSTITUTE FOR MEDICAL RESEARCH,59.19699438
0.8104786,"HANSEN ENERGY AND ENVIRONMENTAL, LLC",17.30052494
0.575752834,"UNIVERSITY OF MARYLAND, CENTER FOR ENVIRONMEN",13.16808187
0.637256826,WASHINGTON STATE  DEP,33.69024457
0.069507213,LEGISLATIVE OFFICE OF THE STATE OF WEST VIRGI,53.08423817
0.216210665,"QUALITY OF LIFE HEALTH SERVICES, INC.",32.31328141
0.059575135,WEST VIRGINIA  DEPTAR,37.82452209
0.545425357,"MONTEZUMA COUNTY PARTNERS, INC.",53.29523943
0.404322379,Nevada Department of Wildlife,71.66857661
0.072894374,NEW YORK STATE  DEPAR,27.67529116
0.921287334,STATE  DEPARTMENT OF,24.48271201
0.561459702,West Central Highlands RC&D,80.99472797
0.04806389,ADA,20.22677395
0.843117548,ILLINOIS  DEPARTMENT,52.02634964
0.517742586,ILLINOIS  DEPARTMENT,84.96568385
0.224726606,"Vision for Children at Risk, Inc.",53.7308795
0.70820312,NEW YORK STATE  DEPAR,20.42276527
0.312315839,A T STILL U OF HEALTH SCIENCES,69.87737784
0.502722268,CWRU-CLEVELAND CLINIC LERNER COLLEGE,49.41119825
0.823816912,PROTECH LABORATORIES INC,18.56681726
0.791451315,FL ST Agency for Workforce Innovation,43.90510283
0.947258366,"Basic NWFL, Inc.",15.77062843
0.629630923,ILLUMINEX CORP,29.4355222
0.072098409,STATE  DEPARTMENT OF,1.283635273
0.631765503,STATE  DEPARTMENT OF,35.84859566
0.524780698,SOUTHERN TRINITY HEALTH SERVICES,55.06270749
0.601425858,OMICIA INC,50.91521096
0.50118686,NATIONAL OLDER WORKER CAREER CENTER,96.40600854
0.430056928,"NATURAL RESOURCES AND ENVIRONMENTAL CONTROL,",77.24088015
0.488288147,STATE OF IDAHO  DEPAR,64.24171758
0.03232005,STATE  DEPARTMENT OF,21.86687184
0.569628811,AMERICAN INSTITUTE OF BIOLOGICAL SCIENCES,96.43142839
0.899781835,UNIVERSITY OF COLORADO DENVER,92.60972875
0.079073781,COUNTY OF BARNWELL,9.166904785
0.922889527,STATE  DEPARTMENT OF,83.94248109
0.824736806,CLARKSTOWN CENTRAL SCHOOL DISTRICT,90.74554611
0.260372587,TODDCNTYCITYLONGPRAIR,62.93054904
0.179597302,NEW YORK STATE  DEPAR,66.84209884
0.706977511,YAKIMA CNTY DEPT OF CMTY SVCS,44.3002756
0.028935263,STATE  DEPARTMENT OF,55.24624424
0.264832505,LA ST 19th JUDICIAL DISTRICT COURT,21.09851465
0.900980773,UNIVERSITY OF COLORADO DENVER,32.31427542
0.695077861,INDIANA FINANCE AUTHORITY,42.59608183
0.43912335,"HAYNEVILLE, TOWN OF",23.42787489
0.948788162,CHILDRENS INSTITUTE INC.,61.43119762
0.287989743,MISSOURI  HIGHWAY & T,0.024051778
0.37874364,NORTHWESTERN MENTAL HEALTH CENTER,17.01694539
0.456666422,CITY OF GOODLAND,48.54788367
0.708066605,UNIVERSITY OF COLORADO DENVER,80.59903371
0.642996827,FLINT HILLS RC&D,7.00672533
0.587299027,TOWN OF ALSTEAD,11.08153932
0.897352204,J. CRAIG VENTER INSTITUTE,85.3249969
0.7518639,WASHINGTON STATE  DEP,67.06136825
0.821585475,CITY OF TORRINGTON,29.36956737
0.449458777,NEW YORK STATE  DEPAR,28.47302004
0.210235564,NEVADA SYSTEM OF HIGHER EDUCATION,2.887595011
0.590880878,"NCADD OF MIDDLESEX COUNTY, INC.",15.2192304
0.29891411,WASHINGTON STATE  DEP,93.58271881
0.043340782,CITY OF GRANT,25.42699562
0.361876109,MISSOURI  HIGHWAY & T,36.91073165
0.342621394,BetaBatt,54.15012896
0.352363513,CAPE & ISLANDS COMM,46.97070501
0.191962565,SUMMIT COUNTY,42.40493035
0.191595535,Regents of the University of New Mexico,24.87164435
0.352505414,SHELLMAN CITY OF,68.72631836
0.252908636,SINGING RIVER HOSPITAL,72.07406328
0.742002691,AR DEPT OF HEALTH & HUMAN SERVICES,36.55253288
0.363521234,"Shirley Heinze Land-Trust, Inc.",71.55225774
0.510476597,ALGAACIQ NATIVE VILLAGE (ST. MARYS),86.96024607
0.846193805,COMPOSITE TECHNOLOGY DEVELOPMENT,56.58461052
0.458157519,OHIO ENVIRONMENTAL PROTECTION AGENCY,10.07464526
0.595614155,ILLINOIS  DEPARTMENT,83.86022366
0.982126462,COFFEY CNTY ARPT AUTH,27.57553854
0.179444845,ABIWT,28.92428119
0.051849025,TOWN OF MOORESVILLE,66.95332955
0.50679197,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MAR,84.15630926
0.273299022,BIOASSESSMENTS LLC,24.66722152
0.154519217,Northeastern OK Community Health Center,30.14626997
0.624382875,UNIVERSITY AND COMMUNITY COLLEGE SYSTEM OF NE,72.7553808
0.2383683,U of Wisconsin Platteville,52.47723774
0.027971962,AtlantiCare Health Services,29.11368298
